[Syscall Table from C:\Windows\System32\ntdll.dll]

---------------------------------------------------------------------------------
| Syscall Name                                          | Number | Number (hex) |
| NtWaitForDebugEvent                                   | 481    | 0x01E1       |
| NtWaitForKeyedEvent                                   | 482    | 0x01E2       |
| NtWaitForMultipleObjects                              | 91     | 0x005B       |
| NtWaitForMultipleObjects32                            | 26     | 0x001A       |
| NtWaitForSingleObject                                 | 4      | 0x0004       |
| NtWaitForWorkViaWorkerFactory                         | 483    | 0x01E3       |
| NtWaitHighEventPair                                   | 484    | 0x01E4       |
| NtWaitLowEventPair                                    | 485    | 0x01E5       |
| NtWorkerFactoryWorkerReady                            | 1      | 0x0001       |
| NtWriteFile                                           | 8      | 0x0008       |
| NtWriteFileGather                                     | 27     | 0x001B       |
| NtWriteRequestData                                    | 87     | 0x0057       |
| NtWriteVirtualMemory                                  | 58     | 0x003A       |
